epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.429,1.46562,1.21916,1.38557,0.49871,0.36024,0.36094,0.17981,1.96198,1.62389,1.65266,0.000665567,0.000665567,0.000665567
2,805.796,1.5578,1.33905,1.44925,0.41087,0.3164,0.28669,0.14425,1.95643,1.92064,1.6211,0.00120034,0.00120034,0.00120034
3,1196.73,1.58533,1.39825,1.47234,0.45417,0.27312,0.30734,0.15997,2.00421,1.83897,1.66211,0.00160312,0.00160312,0.00160312
4,1584.13,1.54213,1.33646,1.44012,0.46198,0.31989,0.31263,0.16243,1.92589,1.74601,1.62136,0.001406,0.001406,0.001406
5,1975.87,1.51486,1.28957,1.41592,0.47003,0.32662,0.35417,0.17823,1.89424,1.65941,1.61088,0.001208,0.001208,0.001208
6,2364.19,1.46458,1.2256,1.37914,0.50808,0.39194,0.39912,0.21646,1.84504,1.505,1.53144,0.00101,0.00101,0.00101
7,2756.88,1.43944,1.17452,1.36103,0.48887,0.3922,0.39376,0.21264,1.82716,1.53081,1.52099,0.000812,0.000812,0.000812
8,3144.65,1.40099,1.13471,1.33452,0.52254,0.39597,0.40303,0.23375,1.75092,1.42962,1.46675,0.000614,0.000614,0.000614
9,3541.4,1.3585,1.08015,1.31062,0.52873,0.42827,0.42825,0.25055,1.74062,1.39412,1.45098,0.000416,0.000416,0.000416
10,3929.22,1.3387,1.04484,1.28951,0.52667,0.44301,0.43593,0.25475,1.71487,1.36204,1.40995,0.000218,0.000218,0.000218
