epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0275,0.38077,0.22623,0.81894,0.95648,0.56506,0.72324,0.48093,1.11539,1.06815,1.06956,0.0677644,0.000996979,0.000996979
2,125.152,0.38497,0.23194,0.81787,0.93132,0.63137,0.76147,0.49697,1.13719,1.05948,1.07522,0.0353915,0.00195744,0.00195744
3,184.452,0.41962,0.2541,0.82203,0.81645,0.69647,0.77866,0.49422,1.19368,1.01906,1.11311,0.002979,0.0028783,0.0028783
4,243.106,0.43973,0.26301,0.82611,0.91503,0.49796,0.61428,0.39486,1.23703,1.02327,1.15206,0.0028218,0.0028218,0.0028218
5,301.607,0.4448,0.27589,0.83059,0.86159,0.49285,0.61121,0.39946,1.23685,1.21584,1.17486,0.0027624,0.0027624,0.0027624
6,360.106,0.43976,0.27133,0.8315,0.60486,0.5658,0.59335,0.37464,1.22688,0.91759,1.1621,0.002703,0.002703,0.002703
7,418.499,0.44296,0.27456,0.82912,0.78012,0.68876,0.80023,0.49368,1.23566,0.78862,1.14754,0.0026436,0.0026436,0.0026436
8,477.164,0.43075,0.26593,0.82785,0.88637,0.54969,0.72676,0.44041,1.23384,1.08442,1.14594,0.0025842,0.0025842,0.0025842
9,536.357,0.43581,0.26699,0.8275,0.69617,0.64407,0.70164,0.40318,1.19485,1.11182,1.13083,0.0025248,0.0025248,0.0025248
10,595.653,0.42739,0.26113,0.82593,0.65084,0.65418,0.68789,0.37087,1.26024,0.85759,1.14926,0.0024654,0.0024654,0.0024654
11,655.254,0.43452,0.26314,0.82929,0.8005,0.68276,0.75609,0.42512,1.22063,0.81922,1.16592,0.002406,0.002406,0.002406
12,715.084,0.43619,0.26173,0.83047,0.7139,0.53728,0.66425,0.40258,1.242,0.94645,1.12938,0.0023466,0.0023466,0.0023466
13,773.25,0.42957,0.26027,0.826,0.75094,0.69481,0.71844,0.4111,1.17096,0.89367,1.10952,0.0022872,0.0022872,0.0022872
14,831.468,0.42408,0.25743,0.82562,0.77423,0.61986,0.69773,0.43183,1.15165,0.90581,1.134,0.0022278,0.0022278,0.0022278
15,889.955,0.42053,0.25353,0.82393,0.87512,0.59734,0.74112,0.47277,1.23529,1.00891,1.14162,0.0021684,0.0021684,0.0021684
16,948.234,0.41134,0.24987,0.81927,0.90245,0.54043,0.63508,0.42092,1.20912,1.0089,1.11807,0.002109,0.002109,0.002109
17,1006.85,0.4083,0.24731,0.82131,0.8185,0.63663,0.75115,0.49361,1.19244,1.02528,1.11663,0.0020496,0.0020496,0.0020496
18,1065.52,0.40498,0.2464,0.82104,0.80749,0.63855,0.70266,0.45435,1.18938,1.00728,1.14006,0.0019902,0.0019902,0.0019902
19,1123.86,0.39262,0.24037,0.8165,0.91274,0.52952,0.7097,0.47385,1.14435,0.96101,1.11158,0.0019308,0.0019308,0.0019308
20,1182.64,0.39119,0.2369,0.81947,0.84316,0.60533,0.72253,0.47698,1.20217,0.95586,1.14087,0.0018714,0.0018714,0.0018714
21,1240.98,0.39196,0.23923,0.82007,0.83685,0.62044,0.7653,0.49946,1.11974,0.77769,1.09451,0.001812,0.001812,0.001812
22,1299.64,0.38609,0.23068,0.82021,0.78812,0.6846,0.79147,0.50851,1.13699,0.92434,1.10078,0.0017526,0.0017526,0.0017526
23,1358.41,0.37355,0.2286,0.81574,0.89818,0.61223,0.77699,0.49609,1.10137,0.84053,1.08412,0.0016932,0.0016932,0.0016932
24,1417.25,0.37735,0.22812,0.81597,0.7065,0.66085,0.68055,0.44834,1.12642,0.97322,1.0784,0.0016338,0.0016338,0.0016338
25,1475.58,0.36701,0.22306,0.81357,0.67884,0.67254,0.71212,0.46389,1.1626,0.79574,1.12773,0.0015744,0.0015744,0.0015744
26,1534.23,0.35823,0.21847,0.81174,0.90416,0.63045,0.77487,0.53726,1.02615,0.88968,1.04555,0.001515,0.001515,0.001515
27,1592.81,0.34979,0.21403,0.81107,0.88391,0.64747,0.77293,0.51905,1.0984,0.87736,1.11063,0.0014556,0.0014556,0.0014556
28,1651.5,0.35008,0.21546,0.81147,0.81204,0.52687,0.64075,0.45629,1.06187,0.96145,1.05802,0.0013962,0.0013962,0.0013962
29,1709.83,0.35223,0.21548,0.81172,0.86458,0.62094,0.75601,0.52027,1.02421,0.87742,1.04406,0.0013368,0.0013368,0.0013368
30,1768.29,0.34817,0.21194,0.80953,0.8641,0.54884,0.65391,0.46153,1.01199,0.96537,1.05027,0.0012774,0.0012774,0.0012774
31,1827.2,0.34639,0.20902,0.81123,0.88303,0.60663,0.74784,0.49167,1.08872,0.89962,1.09643,0.001218,0.001218,0.001218
32,1885.39,0.33839,0.20641,0.81261,0.88003,0.62649,0.74172,0.53058,1.01551,1.09581,1.05121,0.0011586,0.0011586,0.0011586
33,1944.18,0.3326,0.20589,0.80655,0.91231,0.62561,0.77026,0.51938,1.04718,1.04159,1.06834,0.0010992,0.0010992,0.0010992
34,2002.55,0.33027,0.20412,0.80685,0.88407,0.65318,0.75584,0.53651,1.01225,0.92419,1.06321,0.0010398,0.0010398,0.0010398
35,2061.73,0.31909,0.19667,0.80477,0.89726,0.63306,0.7637,0.51777,1.0028,0.92438,1.04214,0.0009804,0.0009804,0.0009804
36,2120.35,0.32173,0.19533,0.80633,0.81593,0.61279,0.76016,0.50211,1.03902,0.95924,1.06982,0.000921,0.000921,0.000921
37,2178.96,0.3121,0.1906,0.80465,0.80955,0.54316,0.7215,0.48237,1.08662,0.91977,1.09157,0.0008616,0.0008616,0.0008616
38,2237.73,0.307,0.18764,0.80425,0.74033,0.54641,0.68916,0.47708,1.03044,0.93886,1.05192,0.0008022,0.0008022,0.0008022
39,2296.49,0.3039,0.18642,0.80257,0.84413,0.69313,0.7763,0.52625,0.98905,0.95582,1.03481,0.0007428,0.0007428,0.0007428
40,2355.03,0.30121,0.18372,0.80439,0.87803,0.68759,0.78562,0.53159,1.00032,0.95043,1.03891,0.0006834,0.0006834,0.0006834
41,2414.55,0.2986,0.17605,0.78383,0.85526,0.66718,0.78382,0.52414,1.04822,0.96666,1.06406,0.000624,0.000624,0.000624
42,2473.47,0.29884,0.1771,0.78429,0.86004,0.6688,0.80713,0.5456,1.01383,0.97008,1.05119,0.0005646,0.0005646,0.0005646
43,2532.22,0.28921,0.1732,0.78389,0.9392,0.6673,0.8268,0.57409,0.9943,1.01083,1.03825,0.0005052,0.0005052,0.0005052
44,2591.16,0.28447,0.16961,0.78333,0.86016,0.67183,0.80062,0.55489,1.00324,0.97541,1.04711,0.0004458,0.0004458,0.0004458
45,2649.52,0.27619,0.16684,0.78119,0.87905,0.67143,0.81619,0.57112,0.99774,0.96126,1.04586,0.0003864,0.0003864,0.0003864
46,2707.76,0.2706,0.16313,0.78307,0.88286,0.66282,0.78608,0.56072,0.99235,0.98764,1.03642,0.000327,0.000327,0.000327
